symbol,timeframe,open_time,close_time,open,high,low,close,volume,trades
BTCUSDT,1d,1519430400000,1519516799999,10131.04000000,10496.97000000,9352.00000000,9694.51000000,40888.15629900,337918
BTCUSDT,1d,1519516800000,1519603199999,9694.51000000,9847.00000000,9274.80000000,9590.00000000,28373.51758600,233567
BTCUSDT,1d,1519603200000,1519689599999,9590.00000000,10444.32000000,9350.00000000,10324.00000000,34878.29275600,285276
BTCUSDT,1d,1519689600000,1519775999999,10321.00000000,10870.00000000,10121.00000000,10569.04000000,30705.38512300,240542
BTCUSDT,1d,1519776000000,1519862399999,10584.33000000,11098.00000000,10300.00000000,10326.76000000,30800.98378200,277886
BTCUSDT,1d,1519862400000,1519948799999,10325.64000000,11060.41000000,10240.00000000,10920.00000000,25092.55393000,230428
BTCUSDT,1d,1519948800000,1520035199999,10923.36000000,11200.00000000,10770.00000000,11039.00000000,23910.71009000,211691
BTCUSDT,1d,1520035200000,1520121599999,11038.99000000,11544.00000000,11015.01000000,11464.48000000,21287.15328000,190444
BTCUSDT,1d,1520121600000,1520207999999,11464.47000000,11565.00000000,11050.02000000,11515.00000000,17295.91865300,168359
BTCUSDT,1d,1520208000000,1520294399999,11515.00000000,11710.00000000,11415.01000000,11454.00000000,15144.23106300,164318
BTCUSDT,1d,1520294400000,1520380799999,11455.00000000,11455.00000000,10555.48000000,10716.48000000,29515.57236300,250306
BTCUSDT,1d,1520380800000,1520467199999,10716.48000000,10899.00000000,9389.31000000,9910.00000000,50647.67108000,396721
BTCUSDT,1d,1520467200000,1520553599999,9910.00000000,10099.00000000,9060.00000000,9271.64000000,41109.47322600,336514
BTCUSDT,1d,1520553600000,1520639999999,9267.07000000,9410.00000000,8329.00000000,9227.00000000,64112.29140700,462712
BTCUSDT,1d,1520640000000,1520726399999,9230.00000000,9490.00000000,8667.07000000,8770.22000000,37180.01285700,288066
BTCUSDT,1d,1520726400000,1520812799999,8770.22000000,9740.00000000,8450.00000000,9533.57000000,44325.97338600,333367
BTCUSDT,1d,1520812800000,1520899199999,9533.57000000,9888.88000000,8780.00000000,9131.34000000,42230.77793000,336642
BTCUSDT,1d,1520899200000,1520985599999,9131.34000000,9474.00000000,8823.00000000,9150.00000000,40191.40935800,342734
BTCUSDT,1d,1520985600000,1521071999999,9151.92000000,9333.78000000,7900.28000000,8170.00000000,49708.09410800,399127
BTCUSDT,1d,1521072000000,1521158399999,8184.01000000,8430.00000000,7650.00000000,8240.98000000,52291.02227700,400529
BTCUSDT,1d,1521158400000,1521244799999,8240.98000000,8611.64000000,7900.00000000,8260.00000000,38815.40989300,255807
BTCUSDT,1d,1521244800000,1521331199999,8260.00000000,8348.62000000,7721.99000000,7824.80000000,33110.20632900,292041
BTCUSDT,1d,1521331200000,1521417599999,7824.01000000,8317.40000000,7322.00000000,8189.99000000,59488.23171100,423336
BTCUSDT,1d,1521417600000,1521503999999,8189.00000000,8705.23000000,8088.40000000,8600.00000000,55297.08494200,360414
BTCUSDT,1d,1521504000000,1521590399999,8595.01000000,9050.00000000,8280.00000000,8909.98000000,44865.10583500,298261
BTCUSDT,1d,1521590400000,1521676799999,8909.96000000,9177.01000000,8750.60000000,8885.00000000,39972.40537100,293696
BTCUSDT,1d,1521676800000,1521763199999,8884.82000000,9100.00000000,8465.10000000,8722.90000000,40617.55680900,276449
BTCUSDT,1d,1521763200000,1521849599999,8720.00000000,8909.00000000,8269.00000000,8898.03000000,39991.00766600,278571
BTCUSDT,1d,1521849600000,1521935999999,8898.04000000,8999.95000000,8491.00000000,8546.86000000,35466.60957200,270300
BTCUSDT,1d,1521936000000,1522022399999,8531.25000000,8669.85000000,8365.77000000,8470.15000000,29001.76931600,215660
BTCUSDT,1d,1522022400000,1522108799999,8470.14000000,8514.89000000,7831.00000000,8134.23000000,44033.59566000,310462
BTCUSDT,1d,1522108800000,1522195199999,8134.22000000,8215.94000000,7730.00000000,7795.51000000,37427.64805000,266540
BTCUSDT,1d,1522195200000,1522281599999,7795.51000000,8109.00000000,7728.00000000,7949.30000000,26401.33167000,183620
BTCUSDT,1d,1522281600000,1522367999999,7949.30000000,7975.00000000,6941.11000000,7090.14000000,54620.91512500,359537
BTCUSDT,1d,1522368000000,1522454399999,7090.16000000,7292.43000000,6600.10000000,6840.23000000,65306.03197600,400057
BTCUSDT,1d,1522454400000,1522540799999,6840.24000000,7223.36000000,6777.00000000,6923.91000000,36868.53908700,240293
